id,intent,character_count,token_count
utt-0001,greeting,4,1
utt-0002,greeting,7,2
utt-0003,greeting,12,2
utt-0004,greeting,20,3
utt-0005,greeting,21,3
utt-0006,greeting,9,2
utt-0007,greeting,7,1
utt-0008,greeting,26,5
utt-0009,greeting,14,3
utt-0010,greeting,22,4
utt-0011,greeting,15,1
utt-0012,greeting,16,3
utt-0013,greeting,9,2
utt-0014,greeting,27,5
utt-0015,greeting,21,4
utt-0016,greeting,17,3
utt-0017,greeting,13,2
utt-0018,greeting,17,3
utt-0019,greeting,17,3
utt-0020,greeting,22,4
utt-0021,greeting,13,2
utt-0022,greeting,11,2
utt-0023,greeting,16,2
utt-0024,greeting,14,3
utt-0025,greeting,12,3
utt-0026,service_overview,31,5
utt-0027,service_overview,36,6
utt-0028,service_overview,38,6
utt-0029,service_overview,24,5
utt-0030,service_overview,34,6
utt-0031,service_overview,39,6
utt-0032,service_overview,28,5
utt-0033,service_overview,44,7
utt-0034,service_overview,34,5
utt-0035,service_overview,33,5
utt-0036,service_overview,51,8
utt-0037,service_overview,45,6
utt-0038,service_overview,39,6
utt-0039,service_overview,41,6
utt-0040,service_overview,36,7
utt-0041,service_overview,22,4
utt-0042,service_overview,34,5
utt-0043,service_overview,32,5
utt-0044,service_overview,44,7
utt-0045,service_overview,37,5
utt-0046,service_overview,44,7
utt-0047,service_overview,44,6
utt-0048,service_overview,50,8
utt-0049,service_overview,31,6
utt-0050,service_overview,32,5
utt-0051,service_overview,41,8
utt-0052,service_overview,33,5
utt-0053,service_overview,32,5
utt-0054,service_overview,36,5
utt-0055,service_overview,43,7
utt-0056,borongan_info,32,5
utt-0057,borongan_info,35,5
utt-0058,borongan_info,47,7
utt-0059,borongan_info,43,6
utt-0060,borongan_info,47,6
utt-0061,borongan_info,45,7
utt-0062,borongan_info,40,5
utt-0063,borongan_info,48,7
utt-0064,borongan_info,42,6
utt-0065,borongan_info,46,6
utt-0066,borongan_info,47,7
utt-0067,borongan_info,40,6
utt-0068,borongan_info,45,6
utt-0069,borongan_info,38,6
utt-0070,borongan_info,43,6
utt-0071,borongan_info,40,5
utt-0072,borongan_info,48,6
utt-0073,borongan_info,47,7
utt-0074,borongan_info,46,6
utt-0075,borongan_info,41,6
utt-0076,borongan_info,49,7
utt-0077,borongan_info,39,6
utt-0078,borongan_info,53,7
utt-0079,borongan_info,49,6
utt-0080,borongan_info,49,7
utt-0081,borongan_info,45,7
utt-0082,borongan_info,52,7
utt-0083,borongan_info,44,6
utt-0084,borongan_info,42,6
utt-0085,borongan_info,41,7
utt-0086,borongan_info,57,6
utt-0087,borongan_info,54,7
utt-0088,borongan_info,58,8
utt-0089,borongan_info,52,7
utt-0090,borongan_info,49,7
utt-0091,harian_info,30,5
utt-0092,harian_info,35,5
utt-0093,harian_info,43,6
utt-0094,harian_info,29,5
utt-0095,harian_info,41,5
utt-0096,harian_info,42,7
utt-0097,harian_info,35,5
utt-0098,harian_info,37,4
utt-0099,harian_info,36,5
utt-0100,harian_info,47,7
utt-0101,harian_info,45,7
utt-0102,harian_info,39,6
utt-0103,harian_info,34,6
utt-0104,harian_info,37,6
utt-0105,harian_info,46,7
utt-0106,harian_info,43,8
utt-0107,harian_info,50,7
utt-0108,harian_info,45,7
utt-0109,harian_info,46,7
utt-0110,harian_info,41,5
utt-0111,harian_info,49,8
utt-0112,harian_info,47,7
utt-0113,harian_info,44,7
utt-0114,harian_info,49,7
utt-0115,harian_info,44,6
utt-0116,harian_info,41,6
utt-0117,harian_info,38,6
utt-0118,harian_info,44,7
utt-0119,harian_info,37,5
utt-0120,harian_info,41,7
utt-0121,harian_info,38,6
utt-0122,harian_info,48,7
utt-0123,harian_info,55,7
utt-0124,harian_info,49,7
utt-0125,harian_info,50,8
utt-0126,pricing_info,28,4
utt-0127,pricing_info,23,4
utt-0128,pricing_info,27,4
utt-0129,pricing_info,36,6
utt-0130,pricing_info,48,6
utt-0131,pricing_info,46,6
utt-0132,pricing_info,48,6
utt-0133,pricing_info,40,7
utt-0134,pricing_info,36,5
utt-0135,pricing_info,39,5
utt-0136,pricing_info,34,5
utt-0137,pricing_info,39,5
utt-0138,pricing_info,31,5
utt-0139,pricing_info,34,5
utt-0140,pricing_info,38,6
utt-0141,pricing_info,33,6
utt-0142,pricing_info,39,5
utt-0143,pricing_info,36,6
utt-0144,pricing_info,41,5
utt-0145,pricing_info,46,7
utt-0146,pricing_info,39,6
utt-0147,pricing_info,39,5
utt-0148,pricing_info,37,6
utt-0149,pricing_info,31,5
utt-0150,pricing_info,41,5
utt-0151,pricing_info,45,8
utt-0152,pricing_info,45,7
utt-0153,pricing_info,43,6
utt-0154,pricing_info,21,4
utt-0155,pricing_info,38,6
utt-0156,start_reservation,24,4
utt-0157,start_reservation,29,4
utt-0158,start_reservation,33,5
utt-0159,start_reservation,32,5
utt-0160,start_reservation,41,6
utt-0161,start_reservation,32,4
utt-0162,start_reservation,32,5
utt-0163,start_reservation,32,5
utt-0164,start_reservation,38,5
utt-0165,start_reservation,37,6
utt-0166,start_reservation,30,5
utt-0167,start_reservation,27,5
utt-0168,start_reservation,38,5
utt-0169,start_reservation,23,4
utt-0170,start_reservation,45,6
utt-0171,start_reservation,30,5
utt-0172,start_reservation,34,4
utt-0173,start_reservation,35,5
utt-0174,start_reservation,26,4
utt-0175,start_reservation,35,5
utt-0176,start_reservation,23,4
utt-0177,start_reservation,29,5
utt-0178,start_reservation,23,4
utt-0179,start_reservation,39,6
utt-0180,start_reservation,32,5
utt-0181,start_reservation,37,6
utt-0182,start_reservation,31,6
utt-0183,start_reservation,28,4
utt-0184,start_reservation,30,5
utt-0185,start_reservation,38,6
utt-0186,start_reservation,29,4
utt-0187,start_reservation,41,5
utt-0188,start_reservation,27,4
utt-0189,start_reservation,31,4
utt-0190,start_reservation,23,3
utt-0191,reservation_status,29,5
utt-0192,reservation_status,31,5
utt-0193,reservation_status,23,4
utt-0194,reservation_status,31,4
utt-0195,reservation_status,31,5
utt-0196,reservation_status,39,5
utt-0197,reservation_status,28,5
utt-0198,reservation_status,33,6
utt-0199,reservation_status,48,6
utt-0200,reservation_status,34,5
utt-0201,reservation_status,29,5
utt-0202,reservation_status,44,7
utt-0203,reservation_status,40,5
utt-0204,reservation_status,30,5
utt-0205,reservation_status,35,5
utt-0206,reservation_status,46,7
utt-0207,reservation_status,37,5
utt-0208,reservation_status,32,5
utt-0209,reservation_status,45,6
utt-0210,reservation_status,35,5
utt-0211,reservation_status,39,5
utt-0212,reservation_status,41,5
utt-0213,reservation_status,31,5
utt-0214,reservation_status,31,5
utt-0215,reservation_status,36,6
utt-0216,goodbye,12,2
utt-0217,goodbye,5,1
utt-0218,goodbye,15,2
utt-0219,goodbye,19,3
utt-0220,goodbye,28,5
utt-0221,goodbye,24,3
utt-0222,goodbye,32,5
utt-0223,goodbye,18,3
utt-0224,goodbye,9,2
utt-0225,goodbye,18,3
utt-0226,goodbye,21,3
utt-0227,goodbye,12,2
utt-0228,goodbye,10,2
utt-0229,goodbye,20,3
utt-0230,goodbye,12,2
utt-0231,goodbye,28,4
utt-0232,goodbye,23,4
utt-0233,goodbye,13,3
utt-0234,goodbye,13,3
utt-0235,goodbye,33,5
utt-0236,goodbye,19,3
utt-0237,goodbye,16,3
utt-0238,goodbye,38,6
utt-0239,goodbye,24,3
utt-0240,goodbye,12,3
