id,text,intent,source
utt-0001,Halo,greeting,synthetic_manual
utt-0002,Hai kak,greeting,synthetic_manual
utt-0003,Selamat pagi,greeting,synthetic_manual
utt-0004,"Selamat siang, admin",greeting,synthetic_manual
utt-0005,Selamat sore semuanya,greeting,synthetic_manual
utt-0006,Malam min,greeting,synthetic_manual
utt-0007,Permisi,greeting,synthetic_manual
utt-0008,"Halo, ada yang bisa bantu?",greeting,synthetic_manual
utt-0009,Hai bot tukang,greeting,synthetic_manual
utt-0010,"Pagi kak, semoga sehat",greeting,synthetic_manual
utt-0011,Assalamualaikum,greeting,synthetic_manual
utt-0012,Apa kabar admin?,greeting,synthetic_manual
utt-0013,Halo halo,greeting,synthetic_manual
utt-0014,"Tes, apakah chat ini aktif?",greeting,synthetic_manual
utt-0015,"Hai, saya baru datang",greeting,synthetic_manual
utt-0016,"Min, boleh tanya?",greeting,synthetic_manual
utt-0017,Selamat malam,greeting,synthetic_manual
utt-0018,"Hello, ada orang?",greeting,synthetic_manual
utt-0019,Permisi kak admin,greeting,synthetic_manual
utt-0020,"Halo, saya mau ngobrol",greeting,synthetic_manual
utt-0021,Pagi semuanya,greeting,synthetic_manual
utt-0022,Hai chatbot,greeting,synthetic_manual
utt-0023,Adminnya online?,greeting,synthetic_manual
utt-0024,Salam kenal ya,greeting,synthetic_manual
utt-0025,Woi halo min,greeting,synthetic_manual
utt-0026,Layanan apa saja yang tersedia?,service_overview,synthetic_manual
utt-0027,Bisa bantu pekerjaan tukang apa aja?,service_overview,synthetic_manual
utt-0028,Tolong jelaskan jasa yang kalian punya,service_overview,synthetic_manual
utt-0029,Di sini melayani apa ya?,service_overview,synthetic_manual
utt-0030,"Ada pilihan layanan apa saja, kak?",service_overview,synthetic_manual
utt-0031,Saya ingin tahu gambaran layanan kalian,service_overview,synthetic_manual
utt-0032,Jenis tukangnya ada apa aja?,service_overview,synthetic_manual
utt-0033,Apa bedanya jasa borongan dan tukang harian?,service_overview,synthetic_manual
utt-0034,Bingung pilih borongan atau harian,service_overview,synthetic_manual
utt-0035,Jelaskan pilihan jasa tukang dong,service_overview,synthetic_manual
utt-0036,Untuk perbaikan rumah bisa pakai layanan yang mana?,service_overview,synthetic_manual
utt-0037,Apakah melayani renovasi dan perbaikan kecil?,service_overview,synthetic_manual
utt-0038,Kasih daftar layanan yang dapat dipesan,service_overview,synthetic_manual
utt-0039,Pekerjaan bangunan apa yang bisa dibantu?,service_overview,synthetic_manual
utt-0040,Ada jasa untuk rumah dan ruko tidak?,service_overview,synthetic_manual
utt-0041,Mau lihat menu layanan,service_overview,synthetic_manual
utt-0042,Tampilkan katalog jasa secara umum,service_overview,synthetic_manual
utt-0043,Kalian punya layanan tukang apa?,service_overview,synthetic_manual
utt-0044,"Saya butuh bantuan hunian, opsinya apa saja?",service_overview,synthetic_manual
utt-0045,Bagaimana cara memilih jenis layanan?,service_overview,synthetic_manual
utt-0046,Layanan di aplikasi ini untuk kebutuhan apa?,service_overview,synthetic_manual
utt-0047,Boleh minta penjelasan singkat soal layanan?,service_overview,synthetic_manual
utt-0048,Apakah ada tukang untuk proyek besar maupun kecil?,service_overview,synthetic_manual
